instrument_type,year,month,value_rub_mm,value_usd_mm,num_trades
futures,2018,6,6358471.8382709995,101249.42686911,18602153.0
futures,2018,7,5708454.151428,90866.03479905,17744032.0
futures,2018,8,7762810.644494,117285.08151953999,23096280.0
futures,2018,9,7014083.3818769995,103348.16147479,20259981.0
futures,2018,10,7793318.706234,118366.9931972,24943398.0
futures,2018,11,7617938.166751,114687.17492339,24290731.0
futures,2018,12,7717855.466449,115010.14745589999,23435696.0
futures,2019,1,5504767.491714,82171.38347152,17027532.0
futures,2019,2,5666762.689766,86126.81199412,17570106.0
futures,2019,3,6236894.732217,95952.75573607,18295473.0
futures,2019,4,5870468.818737,90806.9685179,17601257.0
futures,2019,5,6178969.138762,95291.57833774001,17961437.0
futures,2019,6,5904623.515285,91824.50435066,17886158.0
futures,2019,7,6186331.818785,97882.470504,17734946.0
futures,2019,8,8564354.985827,131024.32296465,23503384.0
futures,2019,9,7880932.597135,121371.93549294,20327529.0
futures,2019,10,7302672.527885,113392.87883375,20313860.0
futures,2019,11,5823358.338082,91195.49606682,16933773.0
futures,2019,12,5769329.400737,91389.44796497,15914560.0
futures,2020,1,6984397.019633,112842.53479873,19903220.0
futures,2020,2,9755597.928042,152466.99578579,27055128.0
futures,2020,3,14994518.000815,206603.30540024,52140450.0
futures,2020,4,10004145.986284,132577.03305972,38983272.0
futures,2020,5,7237381.798694,99740.62665815001,25242772.0
futures,2020,6,8732953.730509,126013.45290664,27568736.0
futures,2020,7,8590182.824439,120373.12291609,24343595.0
futures,2020,8,9528344.140666,129085.63516579001,25796185.0
futures,2020,9,12500143.971753,164737.3439896,30933056.0
futures,2020,10,12187614.103016,157073.59335541,30594454.0
futures,2020,11,11764994.000092,152651.55437291,30759222.0
futures,2020,12,11802773.650548,159044.8187701,31769311.0
futures,2021,1,11207483.001344,150961.09992557,30997643.0
futures,2021,2,11531109.635698,155038.8959004,29870140.0
futures,2021,3,15794618.758899,212499.75062756,39802832.0
futures,2021,4,13182741.805278,173059.72716513,35505452.0
futures,2021,5,9993002.159152,135033.77221415,24907003.0
futures,2021,6,10917446.178403,150511.07165718,25742709.0
futures,2021,7,12049521.339895,163029.65300202,27444932.0
futures,2021,8,11286459.224553,153425.08789611,26471337.0
futures,2021,9,12104444.482308,166005.6053972,29340692.0
futures,2021,10,12484733.600538,174684.77137804,31723000.0
futures,2021,11,16648024.231357,229040.23494772,43431159.0
futures,2021,12,13716925.277234,185873.59201498,39009096.0
options,2015,1,158514.21680199998,2536.1485683065002,243267.0
options,2015,2,227742.194819,3512.131426219,332996.0
options,2015,3,235283.990136,3870.7566491014,305512.0
options,2015,4,238783.489368,4490.7634970359995,398329.0
options,2015,5,205979.008383,4090.220179281,289864.0
options,2015,6,297127.548907,5464.548330843,354155.0
options,2015,7,270337.938312,4721.348954138,366724.0
options,2015,8,417980.855322,6368.9640666,469333.0
options,2015,9,347332.417694,5190.9208196795,423734.0
options,2015,10,375182.480726,5940.409508463,478944.0
options,2015,11,333665.818881,5128.597771668,413173.0
options,2015,12,398995.04616,5764.3135298527,403255.0
options,2016,1,426386.70085200004,5469.072399983,468845.0
options,2016,2,500420.643909,6469.7110484369,600060.0
options,2016,3,523534.456333,7385.634407415,572733.0
options,2016,4,476831.004884,7160.220436848,519464.0
options,2016,5,373245.774685,5688.248544959,421594.0
options,2016,6,443691.321247,6799.355174424,492971.0
options,2016,7,382342.660966,5967.127586582,415218.0
options,2016,8,424255.632623,6536.866610227,445593.0
options,2016,9,478359.936518,7409.488803667,464463.0
options,2016,10,414035.084177,6613.417923155,376914.0
options,2016,11,635390.589878,9860.829710032,631955.0
options,2016,12,709682.814486,11402.673577735,672733.0
options,2017,1,519363.187351,8678.728372837,560850.0
options,2017,2,546992.234332,9361.875092525,566569.0
options,2017,3,751950.101848,12948.242678972,734041.0
options,2017,4,693680.025719,12288.928444462,614972.0
options,2017,5,636357.007149,11166.332103613,526294.0
options,2017,6,633023.440939,10957.608752414,544129.0
options,2017,7,572774.9513,9591.25612199,545444.0
options,2017,8,528541.321226,8864.775883369999,538143.0
options,2017,9,581689.254465,10075.747052305,543080.0
options,2017,10,539712.359852,9355.143365757,501072.0
options,2017,11,662354.420301,11236.961048993,594946.0
options,2017,12,506307.321606,8630.413722503,433448.0
options,2018,1,583604.394095,10291.39453582,522287.0
options,2018,2,765054.545952,13426.436411802,715153.0
options,2018,3,761308.682437,13353.311880139,713971.0
options,2018,4,688749.390363,11475.904016927001,705145.0
options,2018,5,565279.784095,9064.60888072252,517263.0
options,2018,6,491072.6355,7819.166946257,480950.0
options,2018,7,414673.434002,6604.208968566,477951.0
options,2018,8,581208.773253,8784.134310123,652861.0
options,2018,9,521805.556942,7686.388841711,503964.0
options,2018,10,568902.611211,8641.10847401,592127.0
options,2018,11,526299.183877,7918.066261759,569527.0
options,2018,12,448284.694441,6678.7462424959995,498023.0
options,2019,1,333723.02251,4984.434237388,405022.0
options,2019,2,406554.254237,6178.308509883,442706.0
options,2019,3,413101.446334,6363.1338359189995,422204.0
options,2019,4,387180.951187,5991.7323031470005,429260.0
options,2019,5,362376.043073,5590.217862217,422035.0
options,2019,6,392709.18602,6109.725015966,397621.0
options,2019,7,336480.011112,5323.178026192,378585.0
options,2019,8,569867.62353,8730.871366725,617484.0
options,2019,9,443691.658326,6823.77657419,501750.0
options,2019,10,422547.437659,6563.739561694,496820.0
options,2019,11,415120.780623,6500.542675424,415590.0
options,2019,12,421695.221041,6683.138038294,379363.0
options,2020,1,471910.159604,7625.235199517,477529.0
options,2020,2,669673.840087,10473.325336562,653128.0
options,2020,3,470814.599516,6612.575950057,725695.0
options,2020,4,338209.887987,4499.4273196006,601154.0
options,2020,5,357448.253595,4925.292560356,510593.0
options,2020,6,413469.786458,5967.548077448,543056.0
options,2020,7,339371.50761900004,4758.96221215,466407.0
options,2020,8,365381.282102,4953.175533619,478805.0
options,2020,9,469964.230389,6205.872542858,618302.0
options,2020,10,443442.902442,5718.391151238,603802.0
options,2020,11,439310.366845,5699.297589553,624547.0
options,2020,12,491855.54263,6626.237344964,616022.0
options,2021,1,418818.660036,5644.803203128,559941.0
options,2021,2,448041.514687,6028.2474308601995,583374.0
options,2021,3,587527.215207,7910.285145269,739814.0
options,2021,4,547261.009064,7184.39077472,674356.0
options,2021,5,363642.250714,4911.344588301,454680.0
options,2021,6,426290.314305,5875.202514344,469934.0
options,2021,7,481771.297653,6517.967431462,558882.0
options,2021,8,479086.918979,6511.040896811,514885.0
options,2021,9,614386.1867440001,8426.297255318,595101.0
options,2021,10,689622.676452,9646.766347093,686601.0
options,2021,11,922877.952642,12731.08345425,908235.0
options,2021,12,683853.237757,9267.206002104,707835.0
totals,2015,1,4133760.726073,64742.83841426,19006459.0
totals,2015,2,6631230.1955,101815.30704313,26590193.0
totals,2015,3,6283290.4925339995,103967.5629831,23438477.0
totals,2015,4,6410110.9854540005,120993.24733297,28754506.0
totals,2015,5,4409660.644101,87519.71621731,19238370.0
totals,2015,6,6547841.914421,120385.83067511,25921450.0
totals,2015,7,7546903.185591999,131462.4466091,25906158.0
totals,2015,8,11739923.517335,178178.12242931,33774914.0
totals,2015,9,10664313.383506,159677.56233826999,32158279.0
totals,2015,10,10145974.969687,160505.5548644,31110429.0
totals,2015,11,9319336.637806,143324.70208757,27657611.0
totals,2015,12,9912226.790966,142935.50532921,27026364.0
totals,2016,1,10646216.271472,136236.26512293,32624588.0
totals,2016,2,13442114.054892,173714.42572504,42056758.0
totals,2016,3,11390414.760877,161340.73301703,34529571.0
totals,2016,4,10602138.759556001,158841.15677922,32951402.0
totals,2016,5,7759806.984654,118083.90693063001,24598581.0
totals,2016,6,9347271.759315,143281.03658543,28803839.0
totals,2016,7,7801568.491467,121397.31061038,25147270.0
totals,2016,8,9078510.03884,139586.22060102,27472280.0
totals,2016,9,9737934.833936,150857.89120354,28348475.0
totals,2016,10,7171768.052843,114575.29385732999,20172214.0
totals,2016,11,9884252.658061,153505.6911886,27477477.0
totals,2016,12,8444542.928862,135582.75480314,23111376.0
totals,2017,1,7030992.524294,117517.36563135,20576090.0
totals,2017,2,6463267.5336029995,110478.82375394,19412512.0
totals,2017,3,8746575.207652,150576.39097078,27193558.0
totals,2017,4,6647655.2471,117846.46636725,21849322.0
totals,2017,5,6589916.864165,115729.77824582,21774055.0
totals,2017,6,7574047.919692,130836.93245148999,24670517.0
totals,2017,7,7193469.043745,120448.79105256,23446594.0
totals,2017,8,7261238.276056,121761.80303582,22696960.0
totals,2017,9,7273305.398486,125967.89967533,21729165.0
totals,2017,10,6504580.304706,112719.38912624,18813288.0
totals,2017,11,7476211.533497,126868.87437177,22305014.0
totals,2017,12,6044966.222776,102995.10180212,16320462.0
totals,2018,1,5359376.042149,94628.38861151,15359419.0
totals,2018,2,7391064.198433,129851.0456023,22447462.0
totals,2018,3,7797017.444969,136788.22150343,22923183.0
totals,2018,4,8208622.622912,135843.27247073,26917264.0
totals,2018,5,6847084.109829,110020.95323468,19562846.0
totals,2018,6,6849544.473771,109068.59381536,19083103.0
totals,2018,7,6123127.58543,97470.24376761,18221983.0
totals,2018,8,8344019.417747,126069.21582969,23749141.0
totals,2018,9,7535888.938819,111034.55031653,20763945.0
totals,2018,10,8362221.317445,127008.10167122,25535525.0
totals,2018,11,8144237.350628,122605.24118514,24860258.0
totals,2018,12,8166140.16089,121688.89369837,23933719.0
totals,2019,1,5838490.514224,87155.81770891,17432554.0
totals,2019,2,6073316.944003,92305.12050401,18012812.0
totals,2019,3,6649996.178551,102315.889572,18717677.0
totals,2019,4,6257649.769924,96798.70082109,18030517.0
totals,2019,5,6541345.181835,100881.79619995,18383472.0
totals,2019,6,6297332.701305,97934.22936663,18283779.0
totals,2019,7,6522811.829897,103205.64853017,18113531.0
totals,2019,8,9134222.609357,139755.19433137,24120868.0
totals,2019,9,8324624.255461,128195.71206718001,20829279.0
totals,2019,10,7725219.965544,119956.61839542999,20810680.0
totals,2019,11,6238479.118705,97696.03874223,17349363.0
totals,2019,12,6191024.621778,98072.58600327,16293923.0
totals,2020,1,7456307.179237,120467.76999824,20380749.0
totals,2020,2,10425271.768132001,162940.32112232,27708256.0
totals,2020,3,15465332.600328,213215.88135057,52866145.0
totals,2020,4,10342355.874271,137076.46037932,39584426.0
totals,2020,5,7594830.052289,104665.91921853,25753365.0
totals,2020,6,9146423.516967,131981.00098409998,28111792.0
totals,2020,7,8929554.332058,125132.08512821,24810002.0
totals,2020,8,9893725.422768,134038.81069939,26274990.0
totals,2020,9,12970108.202142,170943.21653247002,31551358.0
totals,2020,10,12631057.005458001,162791.98450664,31198256.0
totals,2020,11,12204304.366937,158350.85196248,31383769.0
totals,2020,12,12294629.193178,165671.05611498,32385333.0
totals,2021,1,11626301.66138,156605.90312873002,31557584.0
totals,2021,2,11979151.150385,161067.14333124,30453514.0
totals,2021,3,16382145.974109,220410.03577282,40542646.0
totals,2021,4,13730002.814342,180244.11793989,36179808.0
totals,2021,5,10356644.409866,139945.11680244,25361683.0
totals,2021,6,11343736.492708,156386.27417148,26212643.0
totals,2021,7,12531292.637548,169547.62043348,28003814.0
totals,2021,8,11765546.143532,159936.12879295,26986222.0
totals,2021,9,12718830.669052001,174431.90265247,29935793.0
totals,2021,10,13174356.27699,184331.53772492,32409601.0
totals,2021,11,17570902.183993,241771.31840176,44339394.0
totals,2021,12,14400778.514991,195140.79801731,39716931.0
