date,instrument_type,value_rub_mm,value_usd_mm,num_trades,year,month,quarter
2015-10-08,options,19225.057106,306.589902832,30847.0,2015,10,4
2015-10-09,options,34265.008027,550.051337476,39574.0,2015,10,4
2015-10-12,options,16777.980352,273.717514189,23947.0,2015,10,4
2015-10-13,options,25490.102257,416.821641558,31083.0,2015,10,4
2015-10-14,options,17898.963528,287.655082035,23957.0,2015,10,4
2015-10-15,options,23879.501623,378.29033316500005,31573.0,2015,10,4
2015-10-16,options,14903.721626,239.442986249,20861.0,2015,10,4
2015-10-19,options,10084.822772,164.358481715,13035.0,2015,10,4
2015-10-20,options,12345.816096,200.93480338299997,14453.0,2015,10,4
2015-10-21,options,11361.509195,182.772581239,15394.0,2015,10,4
2015-10-22,options,13010.7211,207.73645437000002,14881.0,2015,10,4
2015-10-23,options,10658.964045,169.759002322,16621.0,2015,10,4
2015-10-26,options,11222.427149,181.21557969999998,15302.0,2015,10,4
2015-10-27,options,20137.951265,322.187631232,21874.0,2015,10,4
2015-10-28,options,19129.325106,301.247316647,22717.0,2015,10,4
2015-10-29,options,13144.399661,201.243489885,22041.0,2015,10,4
2015-10-30,options,10159.570412,158.326197112,14222.0,2015,10,4
2015-11-02,options,10787.791713,167.57942953900002,17016.0,2015,11,4
2015-11-03,options,22109.18387,346.54273432499997,26231.0,2015,11,4
2015-11-05,options,11828.952218,185.25433174900002,19772.0,2015,11,4
2015-11-06,options,14951.065321,235.82456724099998,20402.0,2015,11,4
2015-11-09,options,14682.671375,230.558002346,18019.0,2015,11,4
2015-11-10,options,12973.603809,200.641562389,15929.0,2015,11,4
2015-11-11,options,14424.009877,224.007309693,16815.0,2015,11,4
2015-11-12,options,21958.607317,340.07813801599997,27072.0,2015,11,4
2015-11-13,options,20641.630661,315.360392412,27612.0,2015,11,4
2015-11-16,options,24746.796419,371.382252369,30208.0,2015,11,4
2015-11-17,options,20991.881334,315.85405110100004,27373.0,2015,11,4
2015-11-18,options,20099.625912,306.958714231,24626.0,2015,11,4
2015-11-19,options,18475.508437,285.210500969,23789.0,2015,11,4
2015-11-20,options,10763.798317,165.821393841,13103.0,2015,11,4
2015-11-23,options,18850.650169,290.603280374,23020.0,2015,11,4
2015-11-24,options,20675.423922,315.18711779299997,23946.0,2015,11,4
2015-11-25,options,16306.908039,248.501364487,15232.0,2015,11,4
2015-11-26,options,12427.408314,189.79256392500002,12470.0,2015,11,4
2015-11-27,options,10743.486175,163.564210473,13504.0,2015,11,4
2015-11-30,options,15226.815682,229.875854395,17034.0,2015,11,4
2015-12-01,options,13790.87954,206.645182433,15848.0,2015,12,4
2015-12-02,options,35400.705311,534.282525853,20001.0,2015,12,4
2015-12-03,options,16266.345136,243.726346879,19620.0,2015,12,4
2015-12-04,options,27591.080458,407.133641409,24355.0,2015,12,4
2015-12-07,options,20971.75881,309.913119442,23420.0,2015,12,4
2015-12-08,options,23530.451511,343.432028779,28993.0,2015,12,4
2015-12-09,options,18263.337494,263.530336438,22659.0,2015,12,4
2015-12-10,options,16889.56846,244.068908382,21780.0,2015,12,4
2015-12-11,options,17242.027963,249.107896442,22476.0,2015,12,4
2015-12-14,options,30135.922314,435.644445129,33793.0,2015,12,4
2015-12-15,options,30989.586698,441.293719818,29111.0,2015,12,4
2015-12-16,options,12721.84178,179.612192377,12697.0,2015,12,4
2015-12-17,options,15521.568558,220.473068044,17045.0,2015,12,4
2015-12-18,options,11153.800998,158.029274305,14411.0,2015,12,4
2015-12-21,options,10928.234937,153.224973353,11587.0,2015,12,4
2015-12-22,options,7753.632667,108.814820329,7963.0,2015,12,4
2015-12-23,options,14050.969171,197.564002399,12020.0,2015,12,4
2015-12-24,options,25441.682182,358.670500061,13680.0,2015,12,4
2015-12-25,options,6645.890393,95.6016254127,7002.0,2015,12,4
2015-12-28,options,14129.547834,201.077969432,15667.0,2015,12,4
2015-12-29,options,13595.256557,192.060019312,14310.0,2015,12,4
2015-12-30,options,15980.957388,220.406933824,14817.0,2015,12,4
2016-01-04,options,11878.158436,162.87089980899998,14688.0,2016,1,1
2016-01-05,options,7816.06078,107.172240467,11766.0,2016,1,1
2016-01-06,options,9224.769996,126.488175577,13048.0,2016,1,1
2016-01-11,options,17280.306516,236.944058829,23284.0,2016,1,1
2016-01-12,options,27072.086601,356.442884674,27757.0,2016,1,1
2016-01-13,options,16793.558327,219.225319885,20881.0,2016,1,1
2016-01-14,options,11453.750064,149.864251271,16176.0,2016,1,1
2016-01-15,options,29030.319876,379.36724744199995,32799.0,2016,1,1
2016-01-18,options,34445.475332,449.885395834,32992.0,2016,1,1
2016-01-19,options,25843.743584,328.51743132499996,26114.0,2016,1,1
2016-01-20,options,42577.713032,542.4866158890001,34126.0,2016,1,1
2016-01-21,options,43664.690207,549.508191487,44789.0,2016,1,1
2016-01-22,options,34914.148391,417.67682032700003,31905.0,2016,1,1
2016-01-25,options,32085.768695,398.227766863,27656.0,2016,1,1
2016-01-26,options,21336.879964,274.26529424800003,25771.0,2016,1,1
2016-01-27,options,16168.206291,197.56017628400002,23401.0,2016,1,1
2016-01-28,options,24377.351858,308.58618323,33733.0,2016,1,1
2016-01-29,options,20423.712902,263.98344654199997,27959.0,2016,1,1
2016-02-01,options,17155.283706,221.737885802,19921.0,2016,2,1
2016-02-02,options,26618.078122,348.740122972,30059.0,2016,2,1
2016-02-03,options,23513.662202,301.738443421,25771.0,2016,2,1
2016-02-04,options,30683.19586,387.124234759,36123.0,2016,2,1
2016-02-05,options,17485.220652,228.68185768200001,25166.0,2016,2,1
2016-02-08,options,18705.852274,241.862355804,26776.0,2016,2,1
2016-02-09,options,22464.258576,292.269703336,28742.0,2016,2,1
